City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,sao paulo de olivenca,-3.3783,-68.8725,296.82,97,100,0.29,BR,1701479514
273,concord,37.978,-122.0311,288.09,68,0,5.14,US,1701479349
274,paramonga,-10.6667,-77.8333,293.27,87,75,4.3,PE,1701479515
275,vranov nad toplou,48.8884,21.6848,276.91,98,100,2.2,SK,1701479289
276,mundybash,53.211,87.2983,272.15,94,100,3.87,RU,1701479515
277,shambu,9.5667,37.1,283.44,68,12,1.18,ET,1701479516
278,talnakh,69.4865,88.3972,249.93,89,6,2.44,RU,1701479029
279,soio,-6.1349,12.3689,299.16,80,81,2.55,AO,1701479517
280,praia,14.9215,-23.5087,297.45,83,20,6.17,CV,1701479323
281,burang,30.25,81.1667,261.13,60,0,1.61,CN,1701479517
282,anderstorp,58.8833,14.2833,267.73,94,100,2.1,SE,1701479518
283,ak'ordat,15.5486,37.8867,296.75,52,0,2.09,ER,1701479519
284,xilin hot,43.9667,116.0333,258.91,85,5,2.96,CN,1701479519
285,chui,-33.6971,-53.4616,293.56,98,100,4.37,UY,1701479519
286,newman,37.3138,-121.0208,287.62,36,3,0.89,US,1701479520
287,colonia,50.9333,6.95,272.57,71,100,2.57,DE,1701478825
288,tevriz,57.509,72.4042,264.79,94,100,2.5,RU,1701479521
289,namibe,-15.1961,12.1522,295.04,81,93,2.9,AO,1701479521
290,arkalyk,50.2486,66.9114,272.6,65,99,5.42,KZ,1701479522
291,amontada,-3.3617,-39.8317,299.08,80,51,2.68,BR,1701479523
292,nubl,36.3771,36.9924,283.82,62,2,0.91,SY,1701479523
293,nabire,-3.3667,135.4833,302.76,67,22,1.19,ID,1701479523
294,kununurra,-15.7667,128.7333,308.14,55,42,2.57,AU,1701479233
295,iskushuban,10.2837,50.23,294.27,71,5,3.1,SO,1701479524
296,toliara,-23.35,43.6667,293.82,67,0,6.25,MG,1701479525
297,lata,40.1629,-8.3327,279.86,92,0,0.64,PT,1701479525
298,les cayes,18.2,-73.75,297.71,80,100,1.65,HT,1701479118
299,mapastepec,15.4333,-92.9,298.19,84,6,1.55,MX,1701479526
300,dudinka,69.4058,86.1778,250.16,93,15,5.75,RU,1701479055
301,puerto baquerizo moreno,-0.9,-89.6,297.42,80,99,5.91,EC,1701478970
302,saarburg,48.7333,7.05,273.04,96,100,4.01,FR,1701479526
303,sechura,-5.5569,-80.8222,295.21,74,65,8.03,PE,1701479527
304,greymouth,-42.4667,171.2,285.49,93,100,3.24,NZ,1701479527
305,karratha,-20.7377,116.8463,301.47,49,0,4.93,AU,1701479017
306,vadso,70.0744,29.7487,268.24,86,100,2.57,NO,1701479112
307,okhotsk,59.3833,143.3,241.98,79,2,2.33,RU,1701479528
308,najafgarh,28.6123,76.9824,288.21,94,0,0.0,IN,1701479529
309,lubango,-14.9172,13.4925,287.66,97,100,0.59,AO,1701479529
310,luorong,24.4058,109.6086,284.42,63,100,3.24,CN,1701479530
311,poxoreo,-15.8372,-54.3892,300.17,50,15,1.91,BR,1701479531
312,zouerate,22.7187,-12.4521,293.34,59,73,3.22,MR,1701479531
313,mar del plata,-38.0023,-57.5575,290.98,87,17,0.45,AR,1701479469
314,kalmunai,7.4167,81.8167,297.63,89,100,6.68,LK,1701479532
315,hammerfest,70.6634,23.6821,266.4,73,80,0.0,NO,1701479532
316,ierapetra,35.01,25.7353,289.34,81,100,0.45,GR,1701479533
317,lagoa,39.05,-27.9833,289.61,68,100,6.5,PT,1701479533
318,nadym,65.5333,72.5167,253.09,99,70,3.68,RU,1701479533
319,gazojak,41.1875,61.4036,281.71,59,1,3.63,TM,1701479533
320,afaahiti,-17.75,-149.2833,303.08,84,36,8.24,PF,1701479534
321,guerrero negro,27.9769,-114.0611,291.08,60,0,7.98,MX,1701479534
322,leninskoye,41.7589,69.3864,280.41,65,100,1.93,KZ,1701479535
323,tofol,5.3248,163.0078,303.03,74,75,4.12,FM,1701479535
324,songling,31.1933,120.7176,280.49,30,12,1.45,CN,1701479535
325,katabu,-4.9333,122.5167,304.72,61,86,1.0,ID,1701479536
326,arar,30.9753,41.0381,285.63,49,0,1.69,SA,1701479537
327,antofagasta,-23.65,-70.4,291.75,78,33,2.73,CL,1701479104
328,codrington,-38.2667,141.9667,289.15,68,89,5.53,AU,1701479537
329,shingu,33.7333,135.9833,283.28,51,6,4.85,JP,1701479538
330,betio village,1.358,172.9211,304.17,74,12,5.33,KI,1701479539
331,midvagur,62.0511,-7.1939,274.61,86,20,2.57,FO,1701479539
332,howrah,22.5892,88.3103,293.15,88,22,4.12,IN,1701478865
333,saint-francois,46.4154,3.9054,275.84,94,100,5.66,FR,1701479540
334,letlhakane,-21.4167,25.5833,292.02,41,0,3.95,BW,1701479541
335,vieux-habitants,16.0589,-61.7659,299.66,74,1,10.06,GP,1701479541
336,kaga bandoro,6.9896,19.1874,296.72,59,9,1.62,CF,1701479542
337,calama,-22.4667,-68.9333,288.35,23,0,2.33,CL,1701479542
338,la passe,45.5549,-0.8967,277.28,86,16,3.92,FR,1701479542
339,strezhevoy,60.7333,77.5889,260.35,97,93,0.89,RU,1701479543
340,freetown,8.484,-13.2299,299.82,85,100,2.34,SL,1701479544
341,egilsstadir,65.2653,-14.3948,267.92,97,100,1.91,IS,1701479545
342,bayanaul,50.7889,75.6956,271.91,60,100,8.59,KZ,1701479545
343,selfoss,63.9331,-20.9971,269.49,63,0,4.92,IS,1701479546
344,galveston,29.3669,-94.9669,293.74,91,100,1.54,US,1701479546
345,skovorodino,53.9833,123.9167,257.84,81,100,0.5,RU,1701479385
346,chicoana,-25.1009,-65.5331,299.29,81,91,0.86,AR,1701479547
347,turkeli,41.9476,34.3386,288.19,69,3,3.21,TR,1701479548
348,el porvenir,13.7617,-87.3458,297.78,73,56,2.87,HN,1701479548
349,mejit,10.2753,170.8646,300.7,76,100,8.86,MH,1701479549
350,ilam,26.9167,87.9167,287.25,65,95,2.47,NP,1701479549
351,az zarqa,32.0728,36.088,285.1,76,0,0.0,JO,1701479550
352,pedernales,18.0384,-71.744,297.34,81,9,2.29,DO,1701479550
353,santo augusto,-27.8508,-53.7772,297.44,81,5,3.13,BR,1701479550
354,manacapuru,-3.2997,-60.6206,298.12,88,21,1.29,BR,1701479550
355,montebello vicentino,45.4565,11.3835,287.11,92,100,2.05,IT,1701479551
356,kolonia,50.9333,6.95,272.57,71,100,2.06,DE,1701479551
357,yaiza,28.9633,-13.7631,291.02,82,20,4.63,ES,1701479552
358,karwar,14.8,74.1333,297.68,79,19,1.78,IN,1701479552
359,along,28.1667,94.7667,287.24,56,96,0.15,IN,1701479553
360,pacocha,-17.5833,-71.3333,292.43,82,59,1.8,PE,1701479553
361,djambala,-2.5447,14.7533,293.14,91,100,1.26,CG,1701479553
